112,Motherboard,Gigabyte,GA-Z97X-UD5H,,http://www.amazon.com/dp/B00JKCHDKY/?tag=aindexpc-20,190.55,,"<ul>
        <li>CPU Support: Support for Intel Core i7 processors/Intel Core i5 processors/Intel Core i3 processors/Intel Pentium processors/Intel Celeron processors in the LGA1150 package</li>
        <li>Memory Support: 4 x DDR3 DIMM sockets supporting up to 32 GB;3200(O.C.) / 3100(O.C.) / 3000(O.C.) / 2933(O.C.) / 2800(O.C.) / 2666(O.C.) / 2600(O.C.) / 2500(O.C.) / 2400(O.C.) / 2200(O.C.) / 2133(O.C.) / 2000(O.C.) / 1866(O.C.) / 1800(O.C.)</li>
        <li>Onboard Graphics: 1 x D-Sub port, supporting a maximum resolution of 1920x1200at60Hz; 1 x DVI-D port, supporting a maximum resolution of 1920x1200at60Hz;1 x HDMI port, supporting a maximum resolution of 4096x2160at24Hz or 2560x1600at60Hz</li>
        <li>Support for up to 3 displays at the same time</li>
        <li>Expansion Slots: 1 x PCI Express x16 slot, running at x16 (PCIEX16); 1 x PCI Express x16 slot, running at x8 (PCIEX8); 1 x PCI Express x16 slot, running at x4 (PCIEX4);2 x PCI Express x1 slots;2 x PCI slots; Support for 3-Way/2-Way CrossFire and 2-Way SLI</li>
        <li>Storage Interface: 1 x M.2 PCIe connector; 1 x SATA Express connector; 6 x SATA 6Gb/s connectors Support for RAID 0, RAID 1, RAID 5, and RAID 10; additional 2 x SATA 6Gb/s connectors Support for RAID 0 and RAID 1</li>
        <li>USB: 8 USB 3.0/2.0 ports (6 on back panel 2 through internal USB header); 6 USB 2.0/1.1 ports (2 on back panel 4 through internal USB header)</li>
</ul>"
113,Motherboard,Gigabyte,GA-Z97X-UD7-TH,,http://www.amazon.com/dp/B00JKCHENK/?tag=aindexpc-20,199.49,,"<ul>
        <li>Dual Thunderbolt2 ports</li>
        <li>Support for 3-Way/2-Way AMD CrossFire and 2-Way NVIDIA SLI Technology</li>
        <li>GIGABYTE UEFI DualBIOS.</li>
</ul>"
114,Motherboard,Gigabyte,GA-Z97M-D3H,,http://www.amazon.com/dp/B00K8HNFIO/?tag=aindexpc-20,109.00,,"<ul>
        <li>GIGABYTE product page: http://www.gigabyte.com/products/product-page.aspx?pid=4970#ov</li>
        <li>CPU Support: support for Intel Core i7 processors/Intel Core i5 processors/ Intel Core i3 processors/Intel Pentium processors/ Intel Celeron processors in the LGA1150 package</li>
        <li>Memory Support: 4 x DDR3 DIMM sockets supporting up to 32 GB; Support for DDR3 3000(O.C.) / 2933(O.C.) / 2800(O.C.) / 2666(O.C.) / 2600(O.C.) / 2500(O.C.) / 2400(O.C.) / 2200(O.C.) / 2133(O.C.) / 2000(O.C.) / 1866(O.C.) / 1800(O.C.) / 1600 / 1333 MHz</li>
</ul>"
115,Motherboard,Gigabyte,GA-Z97MX-GAMING 5,,http://www.amazon.com/dp/B00K8HNGXS/?tag=aindexpc-20,129.00,,"<ul>
        <li>GIGABYTE product page: http://www.gigabyte.com/products/product-page.aspx?pid=4968#ov</li>
        <li>CPU Support: support for Intel Core i7 processors/Intel Core i5 processors/Intel Core i3 processors/Intel Pentium processors/Intel Celeron processors in the LGA1150 package</li>
        <li>Memory Support: 4 x DDR3 DIMM sockets supporting up to 32 GB ; Support for DDR3 3000(O.C.) / 2933(O.C.) / 2800(O.C.) / 2666(O.C.) / 2600(O.C.) / 2500(O.C.) / 2400(O.C.) / 2200(O.C.) / 2133(O.C.) / 2000(O.C.) / 1866(O.C.) / 1800(O.C.) / 1600 / 1333 MHz</li>
</ul>"
116,Motherboard,Gigabyte,GA-H97N-WiFi,,http://www.amazon.com/dp/B00KATHCD4/?tag=aindexpc-20,119.95,,"<ul>
        <li>Memory Support: 2 x DDR3 DIMM; MAX 16GB; Support for DDR3 1600/1333 MHz memory modules</li>
        <li>Onboard graphics: 1 x DVI-I port,2 x HDMI ports, Support for up to 3 displays at the same time</li>
        <li>LAN: 2 x Gbe LAN</li>
</ul>"
117,Memory,Crucial,Ballistix Sport ,16GB,http://www.amazon.com/dp/B006YG9EEW/?tag=aindexpc-20,147.99,,"<ul>
        <li>Designed for enthusiasts and mainstream users</li>
        <li>Aluminum heat spreader</li>
        <li>Trusted Brand</li>
        <li>Industry Standard specifications</li>
        <li>Identical To: BLS2CP8G3D1609DS1S00</li>
</ul>"
118,Memory,Crucial,Ballistix Sport ,8GB,http://www.amazon.com/dp/B006WAGGUK/?tag=aindexpc-20,74.09,,"<ul>
        <li>Designed for enthusiasts and mainstream users</li>
        <li>Aluminum heat spreader</li>
        <li>Trusted Brand</li>
        <li>Industry Standard specifications</li>
        <li>Identical To: BLS2CP4G3D1609DS1S00</li>
</ul>"
119,Memory,Crucial,Ballistix Sport XT ,16GB,http://www.amazon.com/dp/B00CWR3I2G/?tag=aindexpc-20,148.97,,"<ul>
        <li>Performance memory for gamers and enthusiasts</li>
        <li>Tall, aggressive heat spreader</li>
        <li>XMP profile for advanced speeds and timings</li>
        <li>Premium-quality DRAM</li>
        <li>Available in 4GB and 8GB DDR3 modules speeds up to 1866 MHz</li>
        <li>Easy to install</li>
        <li>Limited Lifetime Warranty</li>
</ul>"
120,Memory,Crucial,Ballistix Sport XT ,32GB,http://www.amazon.com/dp/B00CWR3ILC/?tag=aindexpc-20,347.73,,"<ul>
        <li>Performance memory for gamers and enthusiasts</li>
        <li>Tall, aggressive heat spreader</li>
        <li>XMP profile for advanced speeds and timings</li>
        <li>Premium-quality DRAM</li>
        <li>Available in 4GB and 8GB DDR3 modules speeds up to 1866 MHz</li>
        <li>Easy to install</li>
        <li>Limited Lifetime Warranty</li>
</ul>"
121,Memory,Crucial,Ballistix Sport XT ,8GB,http://www.amazon.com/dp/B00CWR3HVS/?tag=aindexpc-20,87.49,,"<ul>
        <li>Performance memory for gamers and enthusiasts</li>
        <li>Tall, aggressive heat spreader</li>
        <li>XMP profile for advanced speeds and timings</li>
        <li>Premium-quality DRAM</li>
        <li>Available in 4GB and 8GB DDR3 modules speeds up to 1866 MHz</li>
        <li>Easy to install</li>
        <li>Limited Lifetime Warranty</li>
</ul>"
